ref-hip,ref-knee,ref-ankle,link-hip,link-knee,link-ankle,motor-hip,motor-knee,motor-ankle,tau-m1,tau-m2,tau-m3,tau-dyn-1,tau-dyn-2,tau-dyn-3
0.271322,-0.948741,-0.0273358,0.258572,-0.916649,-0.0294812,0.258572,-0.933523,-0.0310152,0.1218,0.0459,0.108,0.114373,0.0488659,0.108868,0.752333
0.271969,-0.948239,-0.0267771,0.259099,-0.91617,-0.0290977,0.259099,-0.933044,-0.0306317,0.1158,0.0429,0.1128,0.129124,0.0445365,0.109041,0.752667
0.272614,-0.947735,-0.0262196,0.259914,-0.915739,-0.0285225,0.259914,-0.932612,-0.0300564,0.1179,0.0408,0.1299,0.110523,0.0507011,0.102414,0.753
0.273257,-0.947227,-0.0256634,0.260585,-0.915259,-0.028139,0.260585,-0.932133,-0.0296729,0.1008,0.0408,0.114,0.118177,0.0475913,0.104987,0.753333
0.273897,-0.946716,-0.0251084,0.261112,-0.91478,-0.0276596,0.261112,-0.931654,-0.0291936,0.108,0.042,0.1218,0.127037,0.0490132,0.102265,0.753667
0.274535,-0.946202,-0.0245546,0.261879,-0.914205,-0.0270364,0.261879,-0.931078,-0.0285704,0.0978,0.0459,0.12,0.111125,0.0393558,0.102404,0.754
0.27517,-0.945684,-0.024002,0.26255,-0.913677,-0.026557,0.26255,-0.930551,-0.028091,0.099,0.051,0.1149,0.116665,0.0426225,0.108329,0.754333
0.275803,-0.945163,-0.0234506,0.263222,-0.913294,-0.0260777,0.263222,-0.930168,-0.0276117,0.1008,0.045,0.126,0.116009,0.0598377,0.107635,0.754667
0.276433,-0.944639,-0.0229003,0.263893,-0.912766,-0.0255983,0.263893,-0.92964,-0.0271323,0.096,0.042,0.114,0.11581,0.0461262,0.109562,0.755
0.277061,-0.944111,-0.0223511,0.264564,-0.912143,-0.025071,0.264564,-0.929017,-0.026605,0.102,0.0378,0.1059,0.114684,0.0349075,0.110332,0.755333
0.277686,-0.94358,-0.021803,0.265187,-0.911616,-0.0245916,0.265187,-0.92849,-0.0261256,0.1068,0.0468,0.1218,0.118223,0.0444613,0.114253,0.755667
0.278309,-0.943046,-0.021256,0.265858,-0.911089,-0.0241123,0.265858,-0.927962,-0.0256462,0.1029,0.0549,0.1089,0.113751,0.0456053,0.11396,0.756
0.278928,-0.942508,-0.02071,0.266529,-0.910561,-0.0236329,0.266529,-0.927435,-0.0251669,0.1089,0.0378,0.1149,0.11345,0.0460259,0.117987,0.756333
0.279546,-0.941967,-0.0201651,0.2672,-0.909986,-0.0231535,0.2672,-0.92686,-0.0246875,0.111,0.036,0.117,0.112222,0.0413317,0.115602,0.756667
0.28016,-0.941423,-0.0196212,0.267871,-0.909459,-0.0227221,0.267871,-0.926333,-0.0242561,0.117,0.0468,0.1059,0.111868,0.047134,0.113852,0.757
0.280772,-0.940875,-0.0190783,0.268495,-0.908932,-0.0222427,0.268495,-0.925805,-0.0237767,0.1239,0.0468,0.1158,0.113896,0.0478993,0.116022,0.757333
0.281381,-0.940324,-0.0185364,0.269166,-0.908356,-0.0217634,0.269166,-0.92523,-0.0232973,0.1089,0.042,0.1149,0.110132,0.0426081,0.111672,0.757667
0.281988,-0.93977,-0.0179954,0.269933,-0.907829,-0.0211881,0.269933,-0.924703,-0.0227221,0.1098,0.0408,0.1059,0.103085,0.0495421,0.108799,0.758
0.282591,-0.939212,-0.0174554,0.27046,-0.907254,-0.0207087,0.27046,-0.924128,-0.0222427,0.1158,0.042,0.1128,0.117883,0.044535,0.108689,0.758333
0.283192,-0.938651,-0.0169163,0.271131,-0.906679,-0.0203732,0.271131,-0.923552,-0.0219072,0.1059,0.0378,0.1038,0.108833,0.045634,0.110958,0.758667
0.283791,-0.938086,-0.0163782,0.271754,-0.906151,-0.0198938,0.271754,-0.923025,-0.0214278,0.1089,0.051,0.1068,0.110792,0.051189,0.107574,0.759
0.284386,-0.937518,-0.0158409,0.272425,-0.905672,-0.0193665,0.272425,-0.922546,-0.0209005,0.105,0.042,0.1158,0.107441,0.0567288,0.108213,0.759333
0.284979,-0.936946,-0.0153046,0.273049,-0.905097,-0.0188871,0.273049,-0.92197,-0.0204211,0.0999,0.0429,0.1089,0.109347,0.0484503,0.104537,0.759667
0.285569,-0.936371,-0.0147691,0.27372,-0.904425,-0.0184078,0.27372,-0.921299,-0.0199417,0.108,0.042,0.1098,0.105943,0.0375687,0.109473,0.76
0.286156,-0.935793,-0.0142344,0.274343,-0.903946,-0.0179284,0.274343,-0.92082,-0.0194624,0.108,0.0519,0.1068,0.107795,0.0578178,0.104328,0.760333
0.28674,-0.935211,-0.0137006,0.274966,-0.903227,-0.017449,0.274966,-0.920101,-0.018983,0.102,0.0459,0.1119,0.107163,0.0323191,0.108213,0.760667
0.287321,-0.934626,-0.0131677,0.275637,-0.902652,-0.0169217,0.275637,-0.919526,-0.0184557,0.108,0.039,0.1128,0.103678,0.046503,0.105831,0.761
0.2879,-0.934037,-0.0126356,0.276404,-0.902077,-0.0163465,0.276404,-0.91895,-0.0178805,0.1029,0.0489,0.0999,0.0960079,0.0451401,0.105192,0.761333
0.288476,-0.933444,-0.0121043,0.277027,-0.90131,-0.0158671,0.277027,-0.918183,-0.0174011,0.105,0.042,0.111,0.104468,0.0247061,0.107027,0.761667
0.289049,-0.932848,-0.0115738,0.277507,-0.90083,-0.0154357,0.277507,-0.917704,-0.0169697,0.1029,0.0339,0.0999,0.113776,0.0545445,0.10761,0.762
0.289618,-0.932249,-0.011044,0.27813,-0.900207,-0.0149563,0.27813,-0.917081,-0.0164903,0.1029,0.0408,0.096,0.104988,0.0414623,0.111717,0.762333
0.290186,-0.931645,-0.0105151,0.278753,-0.899632,-0.0144769,0.278753,-0.916506,-0.0160109,0.1119,0.0348,0.0948,0.104382,0.0465681,0.107207,0.762667
0.29075,-0.931039,-0.00998695,0.279328,-0.899009,-0.0139496,0.279328,-0.915882,-0.0154836,0.108,0.033,0.108,0.107537,0.0422506,0.110959,0.763
0.291311,-0.930428,-0.00945957,0.279951,-0.898385,-0.0134703,0.279951,-0.915259,-0.0150042,0.1059,0.051,0.1119,0.104063,0.0451435,0.109216,0.763333
0.291869,-0.929815,-0.00893294,0.280527,-0.897762,-0.0129909,0.280527,-0.914636,-0.0145249,0.1149,0.039,0.0978,0.106264,0.0457492,0.112941,0.763667
0.292425,-0.929197,-0.00840708,0.281246,-0.896995,-0.0123677,0.281246,-0.913869,-0.0139017,0.1008,0.0408,0.1089,0.0965384,0.0308928,0.108601,0.764
0.292977,-0.928576,-0.00788196,0.281821,-0.896372,-0.0118884,0.281821,-0.913246,-0.0134223,0.111,0.0438,0.1029,0.103955,0.0445807,0.108991,0.764333
0.293526,-0.927951,-0.00735758,0.282444,-0.895749,-0.011409,0.282444,-0.912623,-0.012943,0.1068,0.0429,0.1068,0.100727,0.0453958,0.110607,0.764667
0.294073,-0.927322,-0.00683395,0.283115,-0.895126,-0.0107858,0.283115,-0.911999,-0.0123198,0.105,0.0348,0.102,0.0966213,0.0462815,0.108085,0.765
0.294616,-0.92669,-0.00631104,0.283595,-0.894503,-0.0104023,0.283595,-0.911376,-0.0119363,0.1089,0.0288,0.0939,0.108113,0.0462957,0.110647,0.765333
0.295157,-0.926054,-0.00578887,0.284266,-0.893879,-0.00982706,0.284266,-0.910753,-0.011361,0.1008,0.0438,0.0999,0.0952609,0.0471667,0.109745,0.765667
0.295695,-0.925414,-0.00526743,0.284841,-0.893112,-0.0093477,0.284841,-0.909986,-0.0108817,0.1089,0.0489,0.093,0.100983,0.032578,0.106939,0.766
0.296229,-0.92477,-0.00474672,0.285368,-0.892489,-0.00886833,0.285368,-0.909363,-0.0104023,0.1098,0.045,0.0999,0.103814,0.0465359,0.107218,0.766333
0.296761,-0.924123,-0.00422673,0.285944,-0.891866,-0.00834102,0.285944,-0.90874,-0.009875,0.1098,0.0408,0.0978,0.100433,0.0476236,0.109078,0.766667
0.297289,-0.923472,-0.00370747,0.286471,-0.891195,-0.00786165,0.286471,-0.908069,-0.00939563,0.1068,0.0378,0.1008,0.103209,0.0426647,0.107666,0.767
0.297815,-0.922817,-0.00318893,0.287142,-0.890428,-0.00728641,0.287142,-0.907302,-0.00882039,0.102,0.0408,0.099,0.0936393,0.0315821,0.107698,0.767333
0.298337,-0.922158,-0.00267112,0.287765,-0.889805,-0.00671117,0.287765,-0.906679,-0.00824515,0.111,0.045,0.102,0.0955597,0.045519,0.108559,0.767667
0.298857,-0.921495,-0.00215404,0.288293,-0.88899,-0.0062318,0.288293,-0.905864,-0.00776578,0.1038,0.0399,0.1008,0.101192,0.0249361,0.108459,0.768
0.299373,-0.920829,-0.00163768,0.28882,-0.888367,-0.00570449,0.28882,-0.90524,-0.00723847,0.1029,0.036,0.105,0.100562,0.0441219,0.104652,0.768333
0.299887,-0.920158,-0.00112205,0.289347,-0.887695,-0.00522512,0.289347,-0.904569,-0.0067591,0.111,0.0378,0.0879,0.0998416,0.0401631,0.108305,0.768667
0.300397,-0.919484,-0.000607161,0.28997,-0.887024,-0.00464988,0.28997,-0.903898,-0.00618386,0.1029,0.0348,0.1008,0.0928974,0.0405943,0.105022,0.769
0.300905,-0.918805,-9.30079e-05,0.290498,-0.886209,-0.00417051,0.290498,-0.903083,-0.00570449,0.1068,0.0369,0.096,0.0982934,0.02557,0.103969,0.769333
0.301409,-0.918123,0.000420403,0.290977,-0.885682,-0.00369114,0.290977,-0.902556,-0.00522512,0.102,0.0459,0.0978,0.100735,0.0555709,0.106913,0.769667
0.30191,-0.917436,0.000933065,0.291504,-0.884867,-0.00316384,0.291504,-0.901741,-0.00469782,0.0999,0.0339,0.087,0.097385,0.0279144,0.10332,0.77
0.302408,-0.916746,0.00144497,0.29208,-0.884052,-0.00258859,0.29208,-0.900926,-0.00412257,0.0978,0.0309,0.0939,0.0935757,0.0262212,0.104996,0.770333
0.302904,-0.916051,0.00195612,0.292703,-0.883237,-0.00201335,0.292703,-0.900111,-0.00354733,0.0939,0.0408,0.0999,0.090271,0.026491,0.105378,0.770667
0.303396,-0.915353,0.0024665,0.293278,-0.882518,-0.00153398,0.293278,-0.899392,-0.00306796,0.1068,0.0429,0.099,0.0913215,0.0356228,0.105188,0.771
0.303885,-0.91465,0.00297611,0.293805,-0.881703,-0.000958738,0.293805,-0.898577,-0.00249272,0.099,0.024,0.0978,0.0940957,0.0267928,0.105757,0.771333
0.304371,-0.913943,0.00348493,0.29438,-0.881032,-0.000383495,0.29438,-0.897906,-0.00191748,0.1008,0.0288,0.0858,0.0897581,0.041417,0.106103,0.771667
0.304854,-0.913232,0.00399296,0.294956,-0.880217,0.000191748,0.294956,-0.897091,-0.00134223,0.1089,0.0309,0.096,0.0886884,0.0276465,0.106436,0.772
0.305334,-0.912517,0.00450018,0.295531,-0.879259,0.00076699,0.295531,-0.896132,-0.00076699,0.1068,0.03,0.0858,0.0871097,0.0123101,0.105709,0.772333
0.305811,-0.911798,0.00500659,0.296154,-0.878444,0.00134223,0.296154,-0.895317,-0.000191748,0.1089,0.039,0.0939,0.0826152,0.0266285,0.103266,0.772667
0.306285,-0.911074,0.00551218,0.296729,-0.877677,0.00186954,0.296729,-0.89455,0.000335558,0.1029,0.03,0.0828,0.083314,0.030749,0.102362,0.773
0.306756,-0.910346,0.00601693,0.297305,-0.876862,0.00244478,0.297305,-0.893736,0.000910801,0.1059,0.0168,0.087,0.0829108,0.0253026,0.100389,0.773333
0.307224,-0.909614,0.00652083,0.297976,-0.876095,0.00302002,0.297976,-0.892969,0.00148604,0.105,0.0198,0.0828,0.0755093,0.0302153,0.099735,0.773667
0.307688,-0.908878,0.00702387,0.298743,-0.874896,0.00383495,0.298743,-0.89177,0.00230097,0.1038,0.0369,0.0759,0.0682443,-0.0119286,0.0990271,0.774
0.30815,-0.908137,0.00752603,0.299366,-0.873986,0.00450607,0.299366,-0.890859,0.00297209,0.093,0.027,0.0858,0.0763346,0.0118186,0.0973299,0.774333
0.308609,-0.907392,0.0080273,0.299941,-0.873219,0.00508131,0.299941,-0.890092,0.00354733,0.099,0.027,0.075,0.0777578,0.0251379,0.100607,0.774667
0.309064,-0.906643,0.00852767,0.300564,-0.872499,0.00575243,0.300564,-0.889373,0.00421845,0.0909,0.009,0.072,0.0733893,0.0306183,0.10058,0.775
0.309517,-0.905889,0.00902712,0.301092,-0.871589,0.00627973,0.301092,-0.888462,0.00474575,0.0978,0.003,0.0759,0.0784857,0.0138306,0.104459,0.775333
0.309967,-0.905131,0.00952562,0.301667,-0.87087,0.00690291,0.301667,-0.887743,0.00536893,0.0978,0.0168,0.078,0.0749773,0.0344655,0.105531,0.775667
0.310413,-0.904368,0.0100232,0.302194,-0.870055,0.00743022,0.302194,-0.886929,0.00589624,0.0999,0.027,0.072,0.0762441,0.0286737,0.105552,0.776
0.310857,-0.903601,0.0105198,0.302722,-0.869336,0.0080534,0.302722,-0.886209,0.00651942,0.102,0.0219,0.078,0.075446,0.0403801,0.103575,0.776333
0.311298,-0.90283,0.0110154,0.303249,-0.868569,0.0085807,0.303249,-0.885442,0.00704672,0.105,0.0228,0.069,0.0755852,0.038367,0.101987,0.776667
0.311735,-0.902053,0.0115099,0.303728,-0.86785,0.00910801,0.303728,-0.884723,0.00757403,0.1098,0.0309,0.072,0.0781681,0.0449898,0.10059,0.777
0.31217,-0.901273,0.0120035,0.304447,-0.866987,0.00992294,0.304447,-0.883861,0.00838896,0.1008,0.0369,0.078,0.0632375,0.0307545,0.0945696,0.777333
0.312601,-0.900487,0.012496,0.304975,-0.864542,0.0105461,0.304975,-0.88295,0.00901214,0.1008,0.036,0.0708,-0.010965,0.0525943,0.0922752,0.777667
0.31303,-0.899698,0.0129874,0.305502,-0.863775,0.0111693,0.305502,-0.882183,0.00963532,0.0939,0.0429,0.075,0.075014,0.0612041,-0.0360888,0.778
0.313456,-0.898903,0.0134778,0.305981,-0.863008,0.0117445,0.305981,-0.881416,0.0102106,0.0978,0.0309,0.063,0.0768984,0.0602123,0.0379612,0.778333
0.313878,-0.898104,0.013967,0.306509,-0.862193,0.0123677,0.306509,-0.880601,0.0108337,0.0849,0.0468,0.0078,0.072194,0.0547813,0.0470424,0.778667
0.314298,-0.8973,0.0144551,0.306988,-0.861426,0.0129909,0.306988,-0.879834,0.0114569,-0.0039,0.0609,0.0579,0.0751148,0.0597339,0.0606917,0.779
0.314715,-0.896492,0.014942,0.307419,-0.860563,0.0135182,0.307419,-0.878971,0.0119842,0.0078,0.057,0.078,0.0800827,0.048237,0.0850318,0.779333
0.315129,-0.895678,0.0154278,0.307851,-0.859748,0.0140934,0.307851,-0.878156,0.0125595,0.045,0.0498,0.075,0.079631,0.050334,0.114681,0.779667
0.31554,-0.89486,0.0159123,0.308234,-0.858837,0.0145728,0.308234,-0.877245,0.0130388,0.0639,0.0528,0.0759,0.0824472,0.0384913,0.133109,0.78
0.315948,-0.894038,0.0163957,0.308666,-0.857975,0.0150042,0.308666,-0.876382,0.0134703,0.0798,0.0468,0.078,0.0775863,0.0413393,0.147361,0.780333
0.316353,-0.89321,0.0168777,0.309145,-0.856776,0.0154357,0.309145,-0.875184,0.0139017,0.1128,0.0519,0.0789,0.0734959,0.00184626,0.149373,0.780667
0.316755,-0.892378,0.0173585,0.311063,-0.855817,0.0158192,0.309529,-0.874225,0.0142852,0.1209,0.0348,0.0819,0.0968271,0.0248205,0.147252,0.781
0.317155,-0.89154,0.017838,0.311446,-0.854859,0.0161547,0.309912,-0.873266,0.0146208,0.15,0.0378,0.0729,0.0941066,-0.0903679,0.00460815,0.781333
0.317551,-0.890698,0.0183161,0.311877,-0.8539,0.0164903,0.310343,-0.872308,0.0149563,0.1419,0.018,0.0759,0.0894516,0.0258402,0.0632571,0.781667
0.317945,-0.889851,0.0187929,0.312117,-0.853325,0.0167779,0.310583,-0.871733,0.0152439,0.1398,0.0108,0.0798,0.101419,0.0675931,0.0702608,0.782
0.318335,-0.888999,0.0192682,0.312357,-0.852654,0.0170655,0.310823,-0.871061,0.0155316,0.1059,-0.0129,0.0909,0.101957,0.065848,0.0711189,0.782333
0.318723,-0.888142,0.0197422,0.312644,-0.851983,0.0174011,0.31111,-0.87039,0.0158671,0.0198,-0.0279,0.09,0.0992472,0.0733141,0.0709368,0.782667
0.319108,-0.88728,0.0202147,0.312884,-0.851263,0.0177367,0.31135,-0.869671,0.0162027,0.069,0.024,0.093,0.102284,0.078068,0.0828389,0.783
0.31949,-0.886413,0.0206857,0.313172,-0.85064,0.0181201,0.311638,-0.869048,0.0165862,0.078,0.069,0.0948,0.0991072,0.096498,0.0918725,0.783333
0.31987,-0.885541,0.0211552,0.313459,-0.849969,0.0185036,0.311925,-0.868377,0.0169697,0.072,0.069,0.0939,0.0982856,0.0960438,0.10073,0.783667
0.320246,-0.884664,0.0216232,0.313747,-0.849346,0.0188871,0.312213,-0.867754,0.0173532,0.075,0.0759,0.0999,0.0983174,0.104714,0.106931,0.784
0.32062,-0.883782,0.0220896,0.314035,-0.848867,0.0192706,0.312501,-0.867274,0.0177367,0.0828,0.0768,0.0978,0.0978766,0.122349,0.114932,0.784333
0.320991,-0.882894,0.0225544,0.314274,-0.848243,0.0195583,0.31274,-0.866651,0.0180243,0.0939,0.099,0.093,0.101166,0.110826,0.12101,0.784667
0.32136,-0.882002,0.0230175,0.31461,-0.84762,0.0199417,0.313076,-0.866028,0.0184078,0.105,0.0939,0.105,0.0939995,0.11062,0.121093,0.785
0.321725,-0.881104,0.023479,0.314897,-0.846997,0.0202773,0.313364,-0.865405,0.0187433,0.102,0.114,0.0948,0.0972082,0.111459,0.122636,0.785333
0.322088,-0.880202,0.0239388,0.315233,-0.846422,0.0206608,0.313699,-0.86483,0.0191268,0.108,0.1179,0.093,0.0928433,0.119775,0.122127,0.785667
0.322448,-0.879294,0.0243968,0.315521,-0.845751,0.0209484,0.313987,-0.864158,0.0194144,0.1179,0.102,0.105,0.0964535,0.108654,0.118306,0.786
0.322806,-0.87838,0.0248531,0.315856,-0.844984,0.021284,0.314322,-0.863391,0.01975,0.1179,0.105,0.096,0.0930303,0.0977943,0.114859,0.786333
0.323161,-0.877462,0.0253076,0.316192,-0.844217,0.0216675,0.314658,-0.862624,0.0201335,0.117,0.1038,0.0909,0.0924697,0.0989629,0.110722,0.786667
0.323513,-0.876538,0.0257602,0.316575,-0.845128,0.022051,0.315041,-0.862001,0.020517,0.1149,0.1158,0.0909,0.172805,0.0883282,0.104597,0.787
0.323862,-0.875609,0.0262109,0.316911,-0.844073,0.0224345,0.315377,-0.860947,0.0209005,0.1149,0.0978,0.0939,0.0884344,0.0410545,0.230673,0.787333
0.324209,-0.874675,0.0266598,0.31739,-0.84321,0.0228659,0.315856,-0.860084,0.0213319,0.1059,0.0918,0.0849,0.0791058,0.0616341,0.15182,0.787667
0.324553,-0.873735,0.0271067,0.317726,-0.842108,0.0233453,0.316192,-0.858981,0.0218113,0.1059,0.0858,0.1308,0.0877904,0.0342824,0.137307,0.788
0.324895,-0.87279,0.0275516,0.318109,-0.841388,0.0237767,0.316575,-0.858262,0.0222427,0.1689,0.075,0.1308,0.0849178,0.0783303,0.127422,0.788333
0.325234,-0.871839,0.0279944,0.318397,-0.841964,0.0241602,0.316863,-0.857303,0.0226262,0.2139,0.0489,0.066,0.174284,0.0244196,0.115024,0.788667
0.32557,-0.870883,0.0284353,0.318876,-0.840957,0.0246875,0.317342,-0.856297,0.0231535,0.138,0.0468,0.0798,0.0735915,0.0259705,0.216079,0.789
0.325904,-0.869922,0.028874,0.319212,-0.839998,0.025071,0.317678,-0.855338,0.023537,0.1248,0.051,0.0849,0.0819919,0.0341675,0.135365,0.789333
0.326236,-0.868955,0.0293105,0.319595,-0.838992,0.0255983,0.318061,-0.854331,0.0240643,0.1188,0.0579,0.1299,0.0796773,0.0335761,0.107605,0.789667
0.326564,-0.867983,0.0297449,0.320075,-0.838033,0.0262215,0.318541,-0.853373,0.0246875,0.192,0.0189,0.135,0.0721674,0.0422418,0.0875144,0.79
0.326891,-0.867005,0.0301771,0.32041,-0.837026,0.0266529,0.318876,-0.852366,0.0251189,0.198,0.024,0.0579,0.0806353,0.0419714,0.0731113,0.790333
0.327215,-0.866021,0.0306071,0.32089,-0.83741,0.027324,0.319356,-0.851216,0.0257901,0.0978,0.036,0.0888,0.153707,0.00156467,0.0492781,0.790667
0.327536,-0.865032,0.0310347,0.321321,-0.836499,0.0278993,0.319787,-0.850305,0.0263653,0.0819,0.042,0.0738,0.0690741,0.0304144,0.163252,0.791
0.327855,-0.864038,0.03146,0.321705,-0.83554,0.0285225,0.320171,-0.849346,0.0269885,0.0828,0.042,0.0798,0.0727193,0.0307699,0.0886339,0.791333
0.328172,-0.863038,0.0318829,0.322184,-0.834629,0.0292894,0.32065,-0.848435,0.0277555,0.0549,0.0189,0.132,0.0673135,0.040849,0.069832,0.791667
0.328486,-0.862032,0.0323035,0.322519,-0.833766,0.0297688,0.320985,-0.847572,0.0282348,0.078,0.0099,0.135,0.0761849,0.0520286,0.0700563,0.792
0.328798,-0.861021,0.0327215,0.321513,-0.832904,0.0304879,0.321513,-0.846709,0.0289539,0.12,0.03,0.0618,0.0436414,0.0581934,0.0624087,0.792333
0.329107,-0.860004,0.0331371,0.321896,-0.832089,0.0310631,0.321896,-0.845895,0.0295291,0.072,0.042,0.0609,0.0529507,0.186156,0.183261,0.792667
0.329414,-0.858981,0.0335501,0.322232,-0.831274,0.0316384,0.322232,-0.84508,0.0301044,0.0609,0.0468,0.0708,0.0567289,0.0763967,0.104197,0.793
0.329719,-0.857953,0.0339605,0.322711,-0.830315,0.0322136,0.322711,-0.844121,0.0306796,0.0708,0.0579,0.0519,0.0475892,0.0692123,0.095338,0.793333
0.330022,-0.856919,0.0343684,0.323143,-0.829548,0.0327888,0.323143,-0.843354,0.0312549,0.1329,0.1248,0.0378,0.0507772,0.0893186,0.0895635,0.793667
0.330322,-0.855879,0.0347735,0.323718,-0.828493,0.0336517,0.323718,-0.842299,0.0321177,0.1119,0.099,0.06,0.0421253,0.0640161,0.0697574,0.794
0.33062,-0.854833,0.035176,0.324197,-0.827439,0.0342749,0.324197,-0.841245,0.0327409,0.0918,0.06,0.0438,0.0474131,0.0530639,0.0539387,0.794333
0.330916,-0.853782,0.0355757,0.324677,-0.82648,0.0349939,0.324677,-0.840286,0.03346,0.0888,0.0828,0.0519,0.0478804,0.0588408,0.0414981,0.794667
0.331209,-0.852725,0.0359726,0.32506,-0.825378,0.0356171,0.32506,-0.839183,0.0340831,0.066,0.0609,0.0438,0.0536254,0.0425941,0.0379035,0.795
0.3315,-0.851662,0.0363666,0.325492,-0.824419,0.0362403,0.325492,-0.838225,0.0347063,0.0519,0.0528,0.045,0.0507222,0.0583746,0.0355361,0.795333
0.331789,-0.850593,0.0367578,0.325827,-0.823412,0.0368155,0.325827,-0.837218,0.0352816,0.0429,0.0549,0.0498,0.0563494,0.0573905,0.0377797,0.795667
0.332076,-0.849519,0.0371461,0.326259,-0.822214,0.0374867,0.326259,-0.83602,0.0359527,0.0369,0.045,0.0528,0.0509382,0.0424687,0.0435949,0.796
0.332361,-0.848439,0.0375314,0.326642,-0.821159,0.0381098,0.326642,-0.834965,0.0365759,0.036,0.051,0.051,0.0532211,0.0612231,0.0552338,0.796333
0.332644,-0.847353,0.0379137,0.327026,-0.820009,0.0386851,0.327026,-0.833814,0.0371511,0.0348,0.0579,0.051,0.0520422,0.0566264,0.0664931,0.796667
0.332925,-0.84626,0.0382929,0.327361,-0.81881,0.0392124,0.327361,-0.832616,0.0376784,0.0498,0.042,0.0489,0.0540085,0.0533863,0.0740133,0.797
0.333203,-0.845163,0.038669,0.327745,-0.817516,0.0397397,0.327745,-0.831322,0.0382057,0.0558,0.0609,0.051,0.0505957,0.0424833,0.0904382,0.797333
0.33348,-0.844059,0.039042,0.32808,-0.816365,0.0401711,0.32808,-0.830171,0.0386371,0.063,0.0558,0.0528,0.0523735,0.0566318,0.091219,0.797667
0.333754,-0.842949,0.0394118,0.328368,-0.815215,0.0405546,0.328368,-0.829021,0.0390206,0.0699,0.054,0.0528,0.0549116,0.0560588,0.0936824,0.798
0.334027,-0.841833,0.0397784,0.328655,-0.812578,0.0408902,0.328655,-0.827918,0.0393562,0.0918,0.0438,0.0459,-0.0287695,0.0908764,0.093101,0.798333
0.334297,-0.840712,0.0401417,0.328991,-0.811284,0.0412257,0.328991,-0.826624,0.0396918,0.0948,0.0588,0.0459,0.0546739,0.0688708,-0.0393659,0.798667
0.334565,-0.839584,0.0405016,0.329279,-0.810134,0.0415613,0.329279,-0.825473,0.0400273,0.0948,0.0558,0.0528,0.0564216,0.0825434,0.0257259,0.799
0.334832,-0.838451,0.0408582,0.329518,-0.809031,0.0418968,0.329518,-0.824371,0.0403629,0.0939,0.084,0,0.0591015,0.0866938,0.0297297,0.799333
0.335097,-0.837311,0.0412114,0.329854,-0.807737,0.0422803,0.329854,-0.823077,0.0407464,-0.0138,0.069,0.0279,0.0533189,0.0656324,0.0331166,0.799667
0.335359,-0.836166,0.0415611,0.330046,-0.805196,0.042568,0.330046,-0.82207,0.041034,-0.0009,0.0738,0.0579,-0.0208291,0.123121,0.0532839,0.8
0.33562,-0.835015,0.0419074,0.330285,-0.804046,0.0429035,0.330285,-0.820919,0.0413695,0.0258,0.0798,0.06,0.0655724,0.106462,-0.0501655,0.800333
0.335879,-0.833857,0.0422501,0.330525,-0.802655,0.043287,0.330525,-0.819529,0.041753,0.0309,0.06,0.0549,0.0644475,0.077718,0.0374299,0.800667
0.336137,-0.832694,0.0425892,0.330717,-0.801649,0.0435267,0.330717,-0.818523,0.0419927,0.0459,0.1029,0.0048,0.064704,0.1154,0.0606734,0.801
0.336392,-0.831524,0.0429246,0.330908,-0.800402,0.0436705,0.330908,-0.817276,0.0421365,-0.0078,0.1068,0.021,0.0651815,0.0901434,0.075109,0.801333
0.336646,-0.830349,0.0432564,0.331052,-0.7993,0.0438623,0.331052,-0.816174,0.0423283,0,0.084,0.0648,0.0691123,0.102747,0.0928715,0.801667
0.336897,-0.829167,0.0435844,0.331244,-0.798006,0.0439581,0.331244,-0.814879,0.0424242,0.0528,0.102,0.06,0.0669883,0.0760134,0.114841,0.802
0.337148,-0.82798,0.0439087,0.331388,-0.796855,0.044054,0.331388,-0.813729,0.04252,0.0669,0.099,0.0639,0.0697189,0.0905164,0.121356,0.802333
0.337396,-0.826786,0.0442292,0.33158,-0.795465,0.0441499,0.33158,-0.812339,0.0426159,0.0858,0.0948,0.066,0.0657001,0.0611275,0.123693,0.802667
0.337643,-0.825587,0.0445458,0.331771,-0.794027,0.0442458,0.331771,-0.810901,0.0427118,0.1119,0.075,0.06,0.06392,0.0515503,0.118377,0.803
0.337888,-0.824381,0.0448585,0.331963,-0.792541,0.0442937,0.331963,-0.809415,0.0427597,0.114,0.0849,0.0678,0.0628771,0.0432696,0.112354,0.803333
0.338131,-0.823169,0.0451672,0.332155,-0.791055,0.0444375,0.332155,-0.807928,0.0429035,0.126,0.0648,0.0618,0.0617274,0.0417751,0.100153,0.803667
0.338373,-0.821952,0.045472,0.332442,-0.789041,0.0446772,0.332442,-0.805915,0.0431432,0.1128,0.0519,0.0648,0.0533689,-0.0176531,0.0820905,0.804
0.338613,-0.820728,0.0457727,0.332634,-0.787507,0.0449169,0.332634,-0.804381,0.0433829,0.111,0.045,0.0588,0.0600894,0.0255604,0.0727491,0.804333
0.338852,-0.819498,0.0460693,0.332922,-0.785973,0.0452045,0.332922,-0.802847,0.0436705,0.0978,0.0399,0.06,0.0536734,0.0248013,0.0630059,0.804667
0.339089,-0.818262,0.0463618,0.333161,-0.784679,0.0454921,0.333161,-0.801553,0.0439581,0.081,0.0069,0.0519,0.0563836,0.0506688,0.0541074,0.805
