ref-hip,ref-knee,ref-ankle,link-hip,link-knee,link-ankle,motor-hip,motor-knee,motor-ankle,tau-m1,tau-m2,tau-m3,tau-dyn-1,tau-dyn-2,tau-dyn-3
-0.0814254,-0.159222,0.154939,-0.0618865,-0.145584,0.153158,-0.0695564,-0.15172,0.154692,0.015,-0.069,-0.051,-0.0481975,-0.026058,0.0417812,0.411
-0.0817173,-0.159405,0.155373,-0.0620303,-0.14568,0.15335,-0.0697003,-0.151816,0.154884,0.0339,-0.0588,-0.0939,-0.0560286,-0.0338175,0.0647751,0.411333
-0.0820077,-0.159589,0.155806,-0.0621742,-0.145824,0.153542,-0.0698441,-0.15196,0.155076,0.0018,-0.0279,-0.0978,-0.0579744,-0.0308344,0.0882958,0.411667
-0.0822966,-0.159775,0.156237,-0.062318,-0.146016,0.153638,-0.0699879,-0.152152,0.155172,-0.0108,-0.0228,-0.0318,-0.058844,-0.0301399,0.106903,0.412
-0.0825839,-0.159963,0.156667,-0.0624618,-0.14616,0.153782,-0.0701317,-0.152296,0.155316,0.0309,-0.0318,-0.0459,-0.0594916,-0.038793,0.129708,0.412333
-0.0828696,-0.160152,0.157096,-0.0626056,-0.146351,0.153877,-0.0702755,-0.152487,0.155411,0.078,-0.0339,-0.0609,-0.0608945,-0.0395414,0.146038,0.412667
-0.0831537,-0.160342,0.157523,-0.0627494,-0.146447,0.153925,-0.0704193,-0.152583,0.155459,0.0948,-0.0288,-0.063,-0.0622262,-0.0519925,0.1528,0.413
-0.0834362,-0.160535,0.157948,-0.0628932,-0.146591,0.153973,-0.0705631,-0.152727,0.155507,0.12,-0.0339,-0.0558,-0.0639779,-0.0536426,0.153871,0.413333
-0.0837171,-0.160728,0.158372,-0.0614551,-0.146687,0.154021,-0.070659,-0.152823,0.155555,0.1308,-0.039,-0.066,-0.0486472,-0.0635496,0.155196,0.413667
-0.0839964,-0.160924,0.158795,-0.0615989,-0.146831,0.154069,-0.0708028,-0.152967,0.155603,0.1419,-0.045,-0.0618,-0.0499583,-0.177064,0.0178295,0.414
-0.084274,-0.161121,0.159216,-0.0617427,-0.146879,0.154117,-0.0709466,-0.153015,0.155651,0.1458,-0.054,-0.066,-0.051824,-0.0742868,0.0830767,0.414333
-0.0845499,-0.16132,0.159635,-0.0618865,-0.146975,0.154213,-0.0710904,-0.15311,0.155747,0.1488,-0.06,-0.057,-0.0540281,-0.0721278,0.0854697,0.414667
-0.0848242,-0.16152,0.160053,-0.0619824,-0.147022,0.154357,-0.0711863,-0.153158,0.155891,0.0789,-0.1209,-0.0489,-0.0589992,-0.079155,0.0824748,0.415
-0.0850968,-0.161722,0.160469,-0.0621262,-0.14707,0.154501,-0.0713301,-0.153206,0.156035,0.0369,-0.1389,-0.0549,-0.0586462,-0.0796814,0.091719,0.415333
-0.0853677,-0.161925,0.160884,-0.0622221,-0.147118,0.154692,-0.071426,-0.153254,0.156226,0.093,-0.057,-0.054,-0.0635505,-0.07771,0.0960887,0.415667
-0.0856369,-0.16213,0.161297,-0.062318,-0.147166,0.154884,-0.0715219,-0.153302,0.156418,0.0828,-0.072,-0.057,-0.0659838,-0.0766993,0.1071,0.416
-0.0859043,-0.162337,0.161708,-0.0624618,-0.147262,0.155172,-0.0716657,-0.153398,0.156706,0.0879,-0.081,-0.063,-0.0651061,-0.0736733,0.109265,0.416333
-0.0861701,-0.162545,0.162118,-0.0625097,-0.147358,0.155363,-0.0717136,-0.153494,0.156897,0.0948,-0.0759,-0.0639,-0.0732431,-0.0740412,0.117002,0.416667
-0.086434,-0.162755,0.162526,-0.0626056,-0.147454,0.155603,-0.0718095,-0.15359,0.157137,0.1029,-0.075,-0.0618,-0.0713058,-0.077103,0.117315,0.417
-0.0866963,-0.162967,0.162932,-0.0627015,-0.14755,0.155843,-0.0719053,-0.153686,0.157377,0.1098,-0.0729,-0.0678,-0.0730373,-0.0786186,0.119937,0.417333
-0.0869567,-0.16318,0.163337,-0.0627494,-0.147646,0.156035,-0.0719533,-0.153782,0.157569,0.1179,-0.0669,-0.0669,-0.0770727,-0.0829875,0.118248,0.417667
-0.0872154,-0.163395,0.163739,-0.0628453,-0.147742,0.156274,-0.0720492,-0.153877,0.157808,0.1179,-0.078,-0.0729,-0.0752439,-0.0840843,0.117705,0.418
-0.0874723,-0.163612,0.16414,-0.0628932,-0.147885,0.156514,-0.0720971,-0.154021,0.158048,0.114,-0.0819,-0.075,-0.0799847,-0.0798742,0.112518,0.418333
-0.0877274,-0.16383,0.16454,-0.0614551,-0.147981,0.156754,-0.072193,-0.154117,0.158288,0.1158,-0.0798,-0.0729,-0.0581124,-0.0887964,0.11175,0.418667
-0.0879807,-0.16405,0.164937,-0.061503,-0.148125,0.157041,-0.0722409,-0.154261,0.158575,0.1179,-0.0849,-0.0738,-0.0647244,-0.200546,-0.0258363,0.419
-0.0882322,-0.164271,0.165333,-0.0615989,-0.148269,0.157329,-0.0723368,-0.154405,0.158863,0.117,-0.0828,-0.0798,-0.0632029,-0.0865953,0.0434864,0.419333
-0.0884818,-0.164495,0.165727,-0.0616948,-0.148413,0.157664,-0.0724327,-0.154549,0.159198,0.105,-0.0888,-0.0609,-0.0643645,-0.0881724,0.05037,0.419667
-0.0887296,-0.16472,0.166119,-0.0617427,-0.148556,0.157952,-0.0724806,-0.154692,0.159486,0.0348,-0.147,-0.0618,-0.0696232,-0.0888191,0.055991,0.42
-0.0889756,-0.164946,0.166509,-0.0618386,-0.148748,0.15824,-0.0725765,-0.154884,0.159774,0.0039,-0.186,-0.0699,-0.0681843,-0.0841467,0.0701983,0.420333
-0.0892197,-0.165174,0.166897,-0.0618865,-0.147406,0.158623,-0.0726244,-0.155076,0.160157,0.0528,-0.066,-0.0648,-0.0733293,0.0895603,0.0870415,0.420667
-0.089462,-0.165404,0.167284,-0.0619824,-0.147598,0.158911,-0.0727203,-0.155268,0.160445,0.057,-0.0918,-0.069,-0.0722826,-0.0484923,0.10345,0.421
-0.0897024,-0.165636,0.167669,-0.0620303,-0.147789,0.159151,-0.0727682,-0.155459,0.160684,0.0558,-0.087,-0.072,-0.0769393,-0.0496081,0.115204,0.421333
-0.089941,-0.165869,0.168051,-0.0621262,-0.148029,0.159486,-0.0728641,-0.155699,0.16102,0.0849,-0.0018,-0.0738,-0.0753581,-0.0458846,0.124503,0.421667
-0.0901776,-0.166104,0.168432,-0.0622221,-0.148317,0.159774,-0.07296,-0.155987,0.161308,0.1008,-0.006,-0.0708,-0.077087,-0.0444646,0.132804,0.422
-0.0904124,-0.166341,0.168811,-0.062318,-0.148652,0.160061,-0.0730558,-0.156322,0.161595,0.114,-0.0549,-0.078,-0.0778728,-0.0514755,0.134786,0.422333
-0.0906453,-0.166579,0.169188,-0.0624138,-0.148844,0.160301,-0.0731517,-0.156514,0.161835,0.1179,-0.0459,-0.0738,-0.0785573,-0.0720759,0.128975,0.422667
-0.0908763,-0.166819,0.169563,-0.0624618,-0.149084,0.160541,-0.0731996,-0.156754,0.162075,0.1248,-0.0429,-0.0729,-0.0829336,-0.075369,0.12643,0.423
-0.0911053,-0.167061,0.169936,-0.0610237,-0.149276,0.160828,-0.0732955,-0.156945,0.162362,0.1299,-0.0489,-0.0729,-0.0611771,-0.0795425,0.118615,0.423333
-0.0913325,-0.167305,0.170307,-0.0611195,-0.149419,0.161116,-0.0733914,-0.157089,0.16265,0.1278,-0.063,-0.075,-0.0641772,-0.204123,-0.0222301,0.423667
-0.0915578,-0.16755,0.170676,-0.0612634,-0.149563,0.161643,-0.0735352,-0.157233,0.163177,0.1209,-0.075,-0.081,-0.061919,-0.0907634,0.0313205,0.424
-0.0917811,-0.167797,0.171043,-0.0613592,-0.149659,0.162027,-0.0736311,-0.157329,0.163561,0.1188,-0.0759,-0.0609,-0.0661323,-0.0900973,0.0363521,0.424333
-0.0920026,-0.168045,0.171409,-0.0614551,-0.149755,0.16241,-0.073727,-0.157425,0.163944,0.0129,-0.1728,-0.0588,-0.0673577,-0.0899985,0.0410748,0.424667
-0.0922221,-0.168296,0.171772,-0.061551,-0.149851,0.162794,-0.0738228,-0.157521,0.164328,0.0108,-0.1239,-0.06,-0.0689692,-0.0883443,0.0558424,0.425
-0.0924396,-0.168548,0.172133,-0.0615989,-0.149947,0.163177,-0.0738708,-0.157617,0.164711,0.0309,-0.069,-0.0639,-0.0738691,-0.0830955,0.0767376,0.425333
-0.0926553,-0.168801,0.172492,-0.0616948,-0.150042,0.163513,-0.0739666,-0.157712,0.165047,0.0489,-0.087,-0.066,-0.0730586,-0.0841502,0.0967676,0.425667
-0.092869,-0.169057,0.172849,-0.0617907,-0.150282,0.163848,-0.0740625,-0.157952,0.165382,0.0498,-0.0819,-0.0669,-0.0742247,-0.0649832,0.110875,0.426
-0.0930807,-0.169314,0.173204,-0.0618865,-0.150474,0.164184,-0.0741584,-0.158144,0.165718,0.0729,-0.0768,-0.0708,-0.0758182,-0.0744843,0.123299,0.426333
-0.0932906,-0.169573,0.173557,-0.0619824,-0.150714,0.164471,-0.0742543,-0.158384,0.166005,0.087,-0.081,-0.0669,-0.0764632,-0.0709061,0.129304,0.426667
-0.0934984,-0.169834,0.173908,-0.0620783,-0.150953,0.164711,-0.0743501,-0.158623,0.166245,0.108,-0.0678,-0.066,-0.0774844,-0.0748098,0.132767,0.427
-0.0937044,-0.170096,0.174257,-0.0621742,-0.151289,0.164999,-0.074446,-0.158959,0.166533,0.1239,-0.0738,-0.0708,-0.0779856,-0.0672865,0.129362,0.427333
-0.0939084,-0.17036,0.174604,-0.06227,-0.151529,0.165238,-0.0745419,-0.159198,0.166772,0.1278,-0.0729,-0.069,-0.0783892,-0.0792449,0.124151,0.427667
-0.0941104,-0.170626,0.174949,-0.062318,-0.151816,0.165478,-0.0745898,-0.159486,0.167012,0.1299,-0.069,-0.0759,-0.0824875,-0.0778969,0.115066,0.428
-0.0943105,-0.170893,0.175291,-0.0624138,-0.152008,0.165718,-0.0746857,-0.159678,0.167252,0.1269,-0.0708,-0.0759,-0.0803727,-0.0898325,0.105586,0.428333
-0.0945087,-0.171162,0.175632,-0.0625097,-0.152296,0.166005,-0.0747816,-0.159965,0.167539,0.1149,-0.0738,-0.0738,-0.0801436,-0.0829711,0.0990436,0.428667
-0.0947049,-0.171433,0.17597,-0.0626056,-0.152487,0.166341,-0.0748774,-0.160157,0.167875,0.1149,-0.0798,-0.078,-0.0812084,-0.0924517,0.0917027,0.429
-0.0948992,-0.171706,0.176307,-0.0626535,-0.152679,0.166725,-0.0749254,-0.160349,0.168259,0.1008,-0.087,-0.0798,-0.0841746,-0.094904,0.0833298,0.429333
-0.0950915,-0.17198,0.176641,-0.0627494,-0.152919,0.16706,-0.0750212,-0.160589,0.168594,0.093,-0.078,-0.0738,-0.0822536,-0.0912664,0.0821584,0.429667
-0.0952819,-0.172256,0.176973,-0.0628453,-0.15311,0.167444,-0.0751171,-0.16078,0.168978,0.099,-0.0849,-0.0828,-0.0827681,-0.0951081,0.0806008,0.43
-0.0954703,-0.172534,0.177303,-0.0629411,-0.15335,0.167875,-0.075213,-0.16102,0.169409,0.0798,-0.0939,-0.0759,-0.0827799,-0.0899597,0.0793795,0.430333
-0.0956568,-0.172814,0.177631,-0.063085,-0.153638,0.168354,-0.0753568,-0.161308,0.169888,0.0828,-0.0888,-0.081,-0.0803644,-0.0836643,0.0841365,0.430667
